1   1   0.0579 0.1596

1   2   0.0579 0.1001

1   4   0.0579 0.0804

1   8   0.0579 0.0689

1   16   0.0579 0.0620

1   32   0.0579 0.0554

1   64   0.0579 0.0486

1   128   0.0579 0.0374

1   256   0.0579 0.0289

1   512   0.0579 0.0266

1   1024   0.0579 0.0264

1   2048   0.0579 0.0262

2   1   0.0194 0.1596

2   2   0.0194 0.1001

2   4   0.0194 0.0804

2   8   0.0194 0.0689

2   16   0.0194 0.0620

2   32   0.0194 0.0554

2   64   0.0194 0.0486

2   128   0.0194 0.0374

2   256   0.0194 0.0289

2   512   0.0194 0.0266

2   1024   0.0194 0.0264

2   2048   0.0194 0.0262

4   1   0.0121 0.1596

4   2   0.0121 0.1001

4   4   0.0121 0.0804

4   8   0.0121 0.0689

4   16   0.0121 0.0620

4   32   0.0121 0.0554

4   64   0.0121 0.0486

4   128   0.0121 0.0374

4   256   0.0121 0.0289

4   512   0.0121 0.0266

4   1024   0.0121 0.0264

4   2048   0.0121 0.0262
16   1   0.0120 0.1596

16   2   0.0120 0.1001

16   4   0.0120 0.0804

16   8   0.0120 0.0689

16   16   0.0120 0.0620

16   32   0.0120 0.0554

16   64   0.0120 0.0486

16   128   0.0120 0.0374

16   256   0.0120 0.0289

16   512   0.0120 0.0266

16   1024   0.0120 0.0264

16   2048   0.0120 0.0262

32   1   0.0120 0.1596

32   2   0.0120 0.1001

32   4   0.0120 0.0804

32   8   0.0120 0.0689

32   16   0.0120 0.0620

32   32   0.0120 0.0554

32   64   0.0120 0.0486

32   128   0.0120 0.0374

32   256   0.0120 0.0289

32   512   0.0120 0.0266

32   1024   0.0120 0.0264

32   2048   0.0120 0.0262

64   1   0.0000 0.1596

64   2   0.0000 0.1001

64   4   0.0000 0.0804

64   8   0.0000 0.0689

64   16   0.0000 0.0620

64   32   0.0000 0.0554

64   64   0.0000 0.0486

64   128   0.0000 0.0374

64   256   0.0000 0.0289

